dataset	mismatches	cover_extension	island_of_exact_match	num_probes
allpahuayo_mammarenavirus	6	20	25	181
allpahuayo_mammarenavirus	6	30	25	148
allpahuayo_mammarenavirus	6	40	25	128
allpahuayo_mammarenavirus	6	50	25	102
allpahuayo_mammarenavirus	7	0	25	227
allpahuayo_mammarenavirus	7	10	25	237
allpahuayo_mammarenavirus	7	20	25	185
allpahuayo_mammarenavirus	7	30	25	149
allpahuayo_mammarenavirus	7	40	25	125
allpahuayo_mammarenavirus	7	50	25	103
allpahuayo_mammarenavirus	8	0	25	227
allpahuayo_mammarenavirus	8	10	25	234
allpahuayo_mammarenavirus	8	20	25	186
allpahuayo_mammarenavirus	8	30	25	143
allpahuayo_mammarenavirus	8	40	25	126
allpahuayo_mammarenavirus	8	50	25	106
alphapapillomavirus_4	0	0	25	654
alphapapillomavirus_4	0	10	25	653
alphapapillomavirus_4	0	20	25	442
alphapapillomavirus_4	0	30	25	362
alphapapillomavirus_4	0	40	25	303
alphapapillomavirus_4	0	50	25	244
alphapapillomavirus_4	1	0	25	505
alphapapillomavirus_4	1	10	25	486
alphapapillomavirus_4	1	20	25	368
alphapapillomavirus_4	1	30	25	297
